"Price Quartiles and Averages for Unabsorbed Homeowner and Condominium Units by Dwelling Type and Census Subdivision for Centres 50,000+",,,,,,,,,,,,,,
"Quartiles et moyens de prix pour les propriétaires-occupants et des copropriétés non-écoulées selon la type de logements et la subdivision de recensement, les centres de 50 000 habitants et plus",,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,Single - Individuels,,,,Semi-detached - Jumelés,,,,Single and Semi-detached - Individuels et Jumelés,,,
Province,Centre,"Census Subdivision
Subdivision de recensement","Mean
Moyenne","Q1
T1","Median
Médiane","Q3
T3","Mean
Moyenne","Q1
T1","Median
Médiane","Q3
T3","Mean
Moyenne","Q1
T1","Median
Médiane","Q3
Que/Qc,Montréal,Pincourt (V),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,Terrasse-Vaudreuil (MÉ),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,Vaudreuil-Dorion (V),"380,093","350,000","400,000","400,000","298,496",--,--,--,"341,237","350,000","400,000","400,000"
Que/Qc,Montréal,Vaudreuil-sur-le-Lac (VL),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,L'Île-Cadieux (V),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,Hudson (V),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,Saint-Lazare (V),"348,959",--,--,--,--,--,--,--,"348,959",--,--,--
Que/Qc,Montréal,Saint-Eustache (V),"540,775",--,--,--,"283,200",--,--,--,"362,454",--,--,--
Que/Qc,Montréal,Deux-Montagnes (V),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,Sainte-Marthe-sur-le-Lac (V),"370,474",--,--,--,--,--,--,--,"370,474",--,--,--
Que/Qc,Montréal,Pointe-Calumet (MÉ),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,Saint-Joseph-du-Lac (MÉ),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,Oka (MÉ),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,Saint-Placide (MÉ),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,Boisbriand (V),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,Sainte-Thérèse (V),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,Blainville (V),"517,310","427,500","485,000","580,000",--,--,--,--,"517,310","427,500","485,000","580,000"
Que/Qc,Montréal,Rosemère (V),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,Lorraine (V),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,Bois-des-Filion (V),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,Sainte-Anne-des-Plaines (V),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,Mirabel (V),"389,760","330,000","375,000","430,000","267,463",--,--,--,"364,673","330,000","375,000","430,000"
Que/Qc,Montréal,Saint-Colomban (V),"350,652",--,--,--,--,--,--,--,"350,652",--,--,--
Que/Qc,Montréal,Saint-Jérôme (V),"367,270","280,000","372,500","447,500","243,197","220,000","240,000","260,000","289,724","230,000","257,500","287,500"
Que/Qc,Montréal,Gore (CT),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,Total,"456,469","335,000","400,000","495,000","319,833","260,000","300,000","360,000","399,430","290,000","357,500","447,500"
Que/Qc,Gatineau,Thurso (V),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Gatineau,Lochaber (CT),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Gatineau,Lochaber-Partie-Ouest (CT),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Gatineau,Mayo (MÉ),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Gatineau,Val-des-Bois (MÉ),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Gatineau,Bowman (MÉ),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Gatineau,Gatineau (V),"423,914","385,000","415,000","480,000",--,--,--,--,"423,914","385,000","415,000","480,000"
Que/Qc,Gatineau,L'Ange-Gardien (MÉ),"337,743",--,--,--,--,--,--,--,"337,743",--,--,--
