"Price Quartiles and Averages for Absorbed Homeowner and Condominium Units by Dwelling Type and Census Subdivision for Centres 50,000+",,,,,,,,,,,,,,
"Quartiles et moyens de prix pour les propriétaires-occupants et des copropriétés écoulées selon la type de logements et la subdivision de recensement, les centres de 50 000 habitants et plus",,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,Single - Individuels,,,,Semi-detached - Jumelés,,,,Single and Semi-detached - Individuels et Jumelés,,,
Province,Centre,"Census Subdivision
Subdivision de recensement","Mean
Moyenne","Q1
T1","Median
Médiane","Q3
T3","Mean
Moyenne","Q1
T1","Median
Médiane","Q3
T3","Mean
Moyenne","Q1
T1","Median
Médiane","Q3
Que/Qc,Gatineau,Chelsea (MÉ),"596,260",--,--,--,--,--,--,--,"596,260",--,--,--
Que/Qc,Gatineau,Pontiac (MÉ),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Gatineau,La Pêche (MÉ),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Gatineau,Denholm (MÉ),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Gatineau,Total,"421,939","350,000","405,000","490,000","291,026","250,000","290,000","330,000","351,421","265,000","325,000","395,000"
Que/Qc,Québec,Saint-Henri (MÉ),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Québec,Beaumont (MÉ),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Québec,Saint-François-de-l'Île-d'Orléans (MÉ),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Québec,Sainte-Famille (PE),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Québec,Saint-Jean-de-l'Île-d'Orléans (MÉ),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Québec,Saint-Laurent-de-l'Île-d'Orléans (MÉ),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Québec,Saint-Pierre-de-l'Île-d'Orléans (MÉ),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Québec,Sainte-Pétronille (VL),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Québec,Château-Richer (V),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Québec,L'Ange-Gardien (MÉ),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Québec,Boischatel (MÉ),"378,089",--,--,--,--,--,--,--,"378,089",--,--,--
